{_id: ObjectId('c265407e5d78ae494b9fbb4327b8e889974e813e'), Hora: '2024-04-16 20:07:51.938', Leitura: 13.951813, Sensor: 2}
{_id: ObjectId('89364a92657b114e7d4db3d474ce22df74471e'), Hora: '2024-04-16 20:07:51.946', Leitura: 13.869611, Sensor: 2}
{_id: ObjectId('68d8e85b87a986613fa247ce7a70654eae06cb60'), Hora: '2024-04-16 20:07:51.946', Leitura: 13.252546, Sensor: 1}
{_id: ObjectId('c58519b2'), Hora: 'Hora_anomala', Leitura: 0, Sensor: 0}
{_id: ObjectId('5ac6159be0c00fe4de50a19e4816a0e33c855809'), Hora: '2024-04-16 20:07:51.946', Leitura: 13.831814, Sensor: 1}
{_id: ObjectId('b1e7dd99cd49d941fc804b5e7b5a3a4ac3597097'), Hora: '2024-04-16 20:07:51.946', Leitura: 13.422283, Sensor: 1}
{_id: ObjectId('9f78bb7ff547945f469c0e16b34ab2d71f34837a'), Hora: '2024-04-16 20:07:51.946', Leitura: 100.0, Sensor: 2}
{_id: ObjectId('7e3ee2046228cede4b6f7a3ddc2d525fa5e8375e'), Hora: '2024-04-16 20:07:51.946', Leitura: 13.831878, Sensor: 2}
{_id: ObjectId('1ad507d98cfbf147798d863e70d91da35b9f71c0'), Hora: '2024-04-16 20:07:51.946', Leitura: 13.920767, Sensor: 2}
{_id: ObjectId('1e4df3ee863149ad4bab4d1561a7cc0a43cbf403'), Hora: '2024-04-16 20:07:51.947', Leitura: 13.451526, Sensor: 2}
{_id: ObjectId('39573c84247c4e5552490f824e475bd23cc0ceb'), Hora: '2024-04-16 20:07:51.947', Leitura: 13.07844, Sensor: 2}
{_id: ObjectId('e8680254f3d465a42e15ac537cd1878aec721355'), Hora: '2024-04-16 20:07:51.947', Leitura: 13.543294, Sensor: 1}
{_id: ObjectId('b72f402d2f343ce4cd60c22832562dc4f16b8ae'), Hora: '2024-04-16 20:07:51.947', Leitura: 13.661732, Sensor: 2}
{_id: ObjectId('a64fd40692f73fce8f28804d81645132f4040627'), Hora: '2024-04-16 20:07:51.947', Leitura: 13.628849, Sensor: 1}
{_id: ObjectId('eb319068594df73823e0558deae2742e3a614084'), Hora: '2024-04-16 20:07:51.947', Leitura: 13.338411, Sensor: 1}
{_id: ObjectId('438ee264fea564dd7ce5f29df5d3af942775fadf'), Hora: '2024-04-16 20:07:51.947', Leitura: 13.09084, Sensor: 2}
{_id: ObjectId('f4c053c1'), Hora: 'Hora_anomala', Leitura: 0, Sensor: 0}
{_id: ObjectId('31a2d8bd2e898dafe117eaf3e066702eecacdd6'), Hora: '2024-04-16 20:07:51.947', Leitura: 13.89556, Sensor: 2}
{_id: ObjectId('79af3d3710e35736ac372df43568423c31eaf466'), Hora: '2024-04-16 20:07:51.947', Leitura: 13.27365, Sensor: 2}
{_id: ObjectId('df978a4d23d0c25216336020d510547c432fd04'), Hora: '2024-04-16 20:07:51.947', Leitura: 13.057557, Sensor: 2}
{_id: ObjectId('776553e24ce232c5b292d2d385b08a59fe5f3d34'), Hora: '2024-04-16 20:07:51.947', Leitura: 13.871492, Sensor: 1}
{_id: ObjectId('7fc610002fe1692293d92ac1735a411a3e9e40a'), Hora: '2024-04-16 20:07:51.947', Leitura: 13.982211, Sensor: 2}
{_id: ObjectId('e36f66a195c6c4f83fcdc48f1e02339e5d5c5d6'), Hora: '2024-04-16 20:07:51.947', Leitura: 13.720874, Sensor: 2}
{_id: ObjectId('3a2a50ca90ebc410c97b54e4bd842cac4c7401eb'), Hora: '2024-04-16 20:07:51.947', Leitura: 13.352459, Sensor: 1}
{_id: ObjectId('92bef9e95d69b9163b09e4cf727b28e4c10b0ae'), Hora: '2024-04-16 20:07:51.947', Leitura: 13.516239, Sensor: 2}
{_id: ObjectId('89f6e9ae57b208abf8071d0a8e2085577501249c'), Hora: '2024-04-16 20:07:51.947', Leitura: 13.13023, Sensor: 1}
{_id: ObjectId('23213585689fc4cba0a24c7ddfe5bf41e33fc3da'), Hora: '2024-04-16 20:07:51.948', Leitura: 13.576744, Sensor: 1}
{_id: ObjectId('eee33232cfc7670558f6c783be4f280cc0922f6f'), Hora: '2024-04-16 20:07:51.948', Leitura: 13.995716, Sensor: 2}
{_id: ObjectId('49f3a237b55ef1d85104f26d4ef075212c025e1c'), Hora: '2024-04-16 20:07:51.948', Leitura: 13.737154, Sensor: 1}
{_id: ObjectId('1914afc978f0a058f76043debe198dea121d2339'), Hora: '2024-04-16 20:07:51.948', Leitura: 13.577111, Sensor: 2}
{_id: ObjectId('5d2d552abdced50e8c1bf3f22c2536f2ea143e2b'), Hora: '2024-04-16 20:07:51.948', Leitura: 13.912842, Sensor: 1}
{_id: ObjectId('83ac6c49f8dec4ccf6fa21606fb0502162ae14e0'), Hora: '2024-04-16 20:07:51.948', Leitura: 19.269876, Sensor: 1}
{_id: ObjectId('519a5b21894f50170a4cc20a7e2b479293e9754'), Hora: '2024-04-16 20:07:51.948', Leitura: 14.0, Sensor: 2}
{_id: ObjectId('80ebdf45b88b47ddebef92bed93de0135cc1de9'), Hora: '2024-04-16 20:07:51.948', Leitura: 14.5, Sensor: 2}
{_id: ObjectId('317e86984afb7ee4a893610b21bdc803234428b5'), Hora: '2024-04-16 20:07:51.949', Leitura: 15.0, Sensor: 2}
{_id: ObjectId('e7b5435555da1e8952cc74b58239a1805254a08e'), Hora: '2024-04-16 20:07:51.949', Leitura: 15.5, Sensor: 2}
{_id: ObjectId('8ae6e0f491541c1ea912fdaa9289439afbf47b60'), Hora: '2024-04-16 20:07:51.949', Leitura: 16.0, Sensor: 2}
{_id: ObjectId('6de488a9b1f4af7b4eccec4a6e92155aecc0860a'), Hora: '2024-04-16 20:07:51.949', Leitura: 16.5, Sensor: 2}
{_id: ObjectId('6e50d366fe3c11defed384dbe958356eb76b6ae5'), Hora: '2024-04-16 20:07:51.949', Leitura: 17.0, Sensor: 1}
{_id: ObjectId('8afadc43bd81612e177d386de45f21d516d84ac3'), Hora: '2024-04-16 20:07:51.949', Leitura: 17.5, Sensor: 2}
{_id: ObjectId('2572d66352c6fee9c46a5a73513bc488cae7e450'), Hora: '2024-04-16 20:07:51.949', Leitura: 18.0, Sensor: 1}
{_id: ObjectId('4672fa9c6903723119309d359b9edfc8ec53232d'), Hora: '2024-04-16 20:07:51.949', Leitura: 19.048933, Sensor: 1}
{_id: ObjectId('e1baf84cd690984fb5f6529656e04a6f67476768'), Hora: '2024-04-16 20:07:51.949', Leitura: 18.742094, Sensor: 2}
{_id: ObjectId('5659f304a426d3b422ef1ea61bc2fd35b24b90'), Hora: '2024-04-16 20:07:51.949', Leitura: 19.440176, Sensor: 2}
{_id: ObjectId('3b9155c2af50c2b7a65bf1a2235cf5c95912228'), Hora: '2024-04-16 20:07:51.949', Leitura: 18.621452, Sensor: 1}
{_id: ObjectId('e1f52dab76e983734d5fd0ce6901d696bf3f6c2'), Hora: '2024-04-16 20:07:51.949', Leitura: 19.322643, Sensor: 1}
{_id: ObjectId('9881ae2044cccebfa332d22fc739b8e1c481ea0'), Hora: '2024-04-16 20:07:51.949', Leitura: 19.542082, Sensor: 1}
{_id: ObjectId('54ea3c1d'), Hora: 'Hora_anomala', Leitura: 0, Sensor: 0}
{_id: ObjectId('80fdd34f201b697eb913715636e433d833d001cb'), Hora: '2024-04-16 20:07:51.949', Leitura: 18.982103, Sensor: 1}
{_id: ObjectId('50a3f89377a62eb7cf1afb2c7026b36dfe435cac'), Hora: '2024-04-16 20:07:51.949', Leitura: 18.998522, Sensor: 2}
{_id: ObjectId('a4250350c6ee1bda5e077dac1af8cc09bf6d4fa'), Hora: '2024-04-16 20:07:51.949', Leitura: 18.647558, Sensor: 1}
{_id: ObjectId('71d0748a579a2e144d8aacc793c72fd9759493a9'), Hora: '2024-04-16 20:07:51.949', Leitura: 100.0, Sensor: 2}
{_id: ObjectId('d39a945971caeb95b67a8dbfa619430afc5fe2e6'), Hora: '2024-04-16 20:07:51.949', Leitura: 18.736576, Sensor: 2}
{_id: ObjectId('cfce7f025db4c6bac977b6cd95ed479e1023538c'), Hora: '2024-04-16 20:07:51.949', Leitura: 19.35806, Sensor: 2}
{_id: ObjectId('9be1e35ea88c4e6976e80ff3b6f5e49a2591490'), Hora: '2024-04-16 20:07:51.950', Leitura: 18.445566, Sensor: 1}
{_id: ObjectId('9ac7e263'), Hora: 'Hora_anomala', Leitura: 0, Sensor: 0}
{_id: ObjectId('b320e90a999a24acb25fb4e2cd1543ffd1560418'), Hora: '2024-04-16 20:07:51.950', Leitura: 19.272812, Sensor: 2}
{_id: ObjectId('28bd34f65dc0f9d5830e16baaeebe8df24a6a8b9'), Hora: '2024-04-16 20:07:51.950', Leitura: 19.041685, Sensor: 2}
{_id: ObjectId('4c2386173e307163c3f5ffad88b60237a160516b'), Hora: '2024-04-16 20:07:51.950', Leitura: 19.00579, Sensor: 1}
{_id: ObjectId('386a5aa59f39448b74003aa2d35db576ece21420'), Hora: '2024-04-16 20:07:51.950', Leitura: 18.42938, Sensor: 1}
{_id: ObjectId('68684f17d7d6fdd8f5fdc07e1b04a79d82ab088'), Hora: '2024-04-16 20:07:51.950', Leitura: 18.914965, Sensor: 1}
{_id: ObjectId('b7556a39e087773863b4f8a9591ed2f41b2490a8'), Hora: '2024-04-16 20:07:51.950', Leitura: 19.274754, Sensor: 2}
{_id: ObjectId('cbe325d8f212e06895b423c816a756f55c8f8b46'), Hora: '2024-04-16 20:07:51.950', Leitura: 19.067232, Sensor: 1}
{_id: ObjectId('205e3494ae3d5c57f68d40cae42bcb0c30152d5'), Hora: '2024-04-16 20:07:51.950', Leitura: 18.375957, Sensor: 2}
{_id: ObjectId('e7f570c9bd935cc6e56adc6a79c1e0b18a4c210f'), Hora: '2024-04-16 20:07:51.950', Leitura: 18.875654, Sensor: 1}
{_id: ObjectId('240d024c6328ae683d19ecb421628ff3dddd00f'), Hora: '2024-04-16 20:07:51.950', Leitura: 18.5165, Sensor: 1}
{_id: ObjectId('c82584926612ecf09fa3821c67cc454fae8fdcf2'), Hora: '2024-04-16 20:07:51.950', Leitura: 19.07007, Sensor: 1}
{_id: ObjectId('7b948c519deb2aa59c33b8d23285a980fa5c971b'), Hora: '2024-04-16 20:07:51.950', Leitura: 100.0, Sensor: 2}
{_id: ObjectId('7b0ee8003f44eeacef2df19a04076d29d1380f3'), Hora: '2024-04-16 20:07:51.950', Leitura: 19.214642, Sensor: 1}
{_id: ObjectId('85e77d2b64cfab6524635918a8a53da6a85819'), Hora: '2024-04-16 20:07:51.950', Leitura: 19.158615, Sensor: 1}
{_id: ObjectId('7100e18fe55d30b6c6111f5a38886a6dc7667f1'), Hora: '2024-04-16 20:07:51.950', Leitura: 18.802715, Sensor: 1}
{_id: ObjectId('35b3f640bf6f0abea840242282ec5066535da02a'), Hora: '2024-04-16 20:07:51.950', Leitura: 18.721977, Sensor: 2}
{_id: ObjectId('f9d995e16fdaab6fd7750fd56cfa0c5f50a226'), Hora: '2024-04-16 20:07:51.950', Leitura: 18.894493, Sensor: 2}
{_id: ObjectId('17d2e02f130a96b2dd5b69afef8c9369fd014bb'), Hora: '2024-04-16 20:07:51.950', Leitura: 19.697083, Sensor: 1}
{_id: ObjectId('4613dbdb9151d70f6b9d19123f877a8f3091a38'), Hora: '2024-04-16 20:07:51.951', Leitura: 19.196075, Sensor: 1}
{_id: ObjectId('b38f311fc548fdee850f9faee043adef0977ab'), Hora: '2024-04-16 20:07:51.951', Leitura: 18.831503, Sensor: 1}
{_id: ObjectId('89126a627d600454b2035c26d72052c0d40ed08'), Hora: '2024-04-16 20:07:51.951', Leitura: 18.599981, Sensor: 2}
{_id: ObjectId('f456bfeb'), Hora: 'Hora_anomala', Leitura: 0, Sensor: 0}
{_id: ObjectId('f56502d3fdaf6b35a6eb7c5f5674f5961e7c4768'), Hora: '2024-04-16 20:07:51.951', Leitura: 18.757345, Sensor: 1}
{_id: ObjectId('53baa0a5d1dffa16863d82564f3a399d66865267'), Hora: '2024-04-16 20:07:51.951', Leitura: 19.39151, Sensor: 2}
{_id: ObjectId('f7c0b7aaf2670e4395a957b375f0fbd378a5e696'), Hora: '2024-04-16 20:07:51.951', Leitura: 19.264122, Sensor: 1}
