{_id: ObjectId('80f3e2014d9bde871a9f13b6f026eba7e7361355'), Hora: '2024-04-16 20:07:52.079', SalaOrigem: 9, SalaDestino: 4}
{_id: ObjectId('65f493b1f0af1672643d6af4'), Hora: '2024-03-15 18:30:08.832404', SalaDestino: 3}
{_id: ObjectId('d274981068f826bbadd78d26b380e7fed734612'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 5, SalaDestino: 8}
{_id: ObjectId('97abd59a86cd10c8ee1c25f3c5708f6632ed43ef'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 5, SalaDestino: 7}
{_id: ObjectId('5a424af98862b703f1a4d41092619cc521240216'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 1, SalaDestino: 8}
{_id: ObjectId('fff5382ed10e4fdf7cace8682153cfc2f610db04'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 7, SalaDestino: 8}
{_id: ObjectId('f386ffcf3cd5c2d01d64aa9a1229aaa74a496108'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 5, SalaDestino: 9}
{_id: ObjectId('e141658560b44d03cdfb788e98a2e348d704c7'), Hora: '2024-04-16 20:07:52.087', SalaOrigem: 7, SalaDestino: 8}
{_id: ObjectId('71111c8f231004dbda9ac7889bee18742ed0bb6'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 1, SalaDestino: 2}
{_id: ObjectId('7a14a63eb40fe872f1774986478093cadef6d6a3'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 10, SalaDestino: 7}
{_id: ObjectId('65f493b1f0af1672643d6af4'), Hora: '2024-03-15 18:30:08.832404', SalaDestino: 3}
{_id: ObjectId('80c8581cec6a1ce0670ecb85b7b8782d9ca248e4'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 1, SalaDestino: 3}
{_id: ObjectId('b6ac1be137342038f639efb85d7b9b47dc27bc4d'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 1, SalaDestino: 3}
{_id: ObjectId('ff647cdaeda27e66571bd033082b9b997eae4af'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 7, SalaDestino: 10}
{_id: ObjectId('4c7e38734ec280748e94d62e793ca29f3764428c'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 9, SalaDestino: 2}
{_id: ObjectId('6d5e9f673210412062f1e4a177f250e8ecc177ac'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 9, SalaDestino: 3}
{_id: ObjectId('74c19fc3e5266e5d3f1c48ece2e911d89606ab99'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 1, SalaDestino: 8}
{_id: ObjectId('8363faa3d67cec52d5765b416f32fb8686480022'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 8, SalaDestino: 1}
{_id: ObjectId('da14ba9b13141591a933bf58da7b35f7bed15dc'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 3, SalaDestino: 2}
{_id: ObjectId('8a1b55798efd288120d234037abf84a1f530a09c'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 1, SalaDestino: 6}
{_id: ObjectId('6c4e5e3e3a7cf40d5ad5a5881d4ac6e1484e0bfe'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 6, SalaDestino: 5}
{_id: ObjectId('75a49c242defbff34eb78c48f53f9486610f2fe2'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 10, SalaDestino: 7}
{_id: ObjectId('67dab1dc95db745e5e1d8e288917d14bc9ac14e9'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 8, SalaDestino: 3}
{_id: ObjectId('ebc73b1b623e982de98e9bb2557980c1b12ec8fc'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 2, SalaDestino: 4}
{_id: ObjectId('fd7691a5c39f372bfac209440236ccaf5cd43c6'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 7, SalaDestino: 1}
{_id: ObjectId('19d2af17495c01f37b30c421f4581c1fd5eb5b35'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 5, SalaDestino: 10}
{_id: ObjectId('87b77ed360f835ac2cd6b9ce5c4118ccceb6c7fd'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 6, SalaDestino: 10}
{_id: ObjectId('3c31513bb34094a7087a1b6a00486af5b8f3a14'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 9, SalaDestino: 5}
{_id: ObjectId('bff65620ecb3e2b2d777f917b08709fcbdac7d37'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 7, SalaDestino: 1}
{_id: ObjectId('25a9ba46b511c57863101ad36913fdbbafb4ad64'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 8, SalaDestino: 9}
{_id: ObjectId('6024a588187d568a6c4cff0c065fa48ed347b5e'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 6, SalaDestino: 6}
{_id: ObjectId('8059ac2a8878a901941701856c9abd3c22b812d'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 10, SalaDestino: 2}
{_id: ObjectId('a3eb3f166dbf6bf58785921aec54f8de6b1ea69b'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 4, SalaDestino: 7}
{_id: ObjectId('6a584878b2f1d1ab4ed84c67ef6c78c2ea6295b7'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 4, SalaDestino: 7}
{_id: ObjectId('8d53032b1fdd7bd7cb3059661113a2a1b903f56'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 9, SalaDestino: 2}
{_id: ObjectId('be11cd2983cd587a5605d4e0c1b0d9953a556f8d'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 1, SalaDestino: 4}
{_id: ObjectId('332ec1c5ffd96d65517772a49671e7d8c6137238'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 10, SalaDestino: 3}
{_id: ObjectId('3e51e875f4d7a1b46282b8e45c36a09aa7fdc777'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 2, SalaDestino: 8}
{_id: ObjectId('55abd029d5eaf4d2d93b3c76acff0d7c5aae82c'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 8, SalaDestino: 2}
{_id: ObjectId('4a0048d65b02acddef864215601acd5eb6491a7e'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 5, SalaDestino: 5}
{_id: ObjectId('f003fff6fe50f9288d2845be2801d95324e95658'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 4, SalaDestino: 2}
{_id: ObjectId('38212d05d40364bb71a164539b9d5cad869239ea'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 9, SalaDestino: 10}
{_id: ObjectId('d4754e05f4a718cedce2578bfeeb8ab92f0d0e27'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 10, SalaDestino: 4}
{_id: ObjectId('f519f3fb95e2ef52857dcdc059db18957b9edb46'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 8, SalaDestino: 3}
{_id: ObjectId('d30a9f70f87155683b8cda6fc6a223b6bf1f8d42'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 8, SalaDestino: 9}
{_id: ObjectId('ba39acf08583fde78c80f6bc549b6863d721285a'), Hora: '2024-04-16 20:07:52.088', SalaOrigem: 4, SalaDestino: 4}
{_id: ObjectId('3a6518ed0fb63dae20591ebc23c837d6190d91'), Hora: '2024-04-16 20:07:52.089', SalaOrigem: 4, SalaDestino: 9}
{_id: ObjectId('f885a75fb91c1d00f85331e8f53220a3fabd4f2f'), Hora: '2024-04-16 20:07:52.089', SalaOrigem: 7, SalaDestino: 7}
{_id: ObjectId('e7d0c9fa87abfc4bf29623c0bfa371694108153e'), Hora: '2024-04-16 20:07:52.089', SalaOrigem: 3, SalaDestino: 6}
{_id: ObjectId('cfca02fecba10461c64abc26d17553223593120e'), Hora: '2024-04-16 20:07:52.089', SalaOrigem: 2, SalaDestino: 5}
{_id: ObjectId('dd4b068c9dcc2a1e30b127efc68bdb9583d06b1'), Hora: '2024-04-16 20:07:52.089', SalaOrigem: 4, SalaDestino: 3}
{_id: ObjectId('aaee3fc92629e710ebbacc9691c71eee474b577f'), Hora: '2024-04-16 20:07:52.089', SalaOrigem: 9, SalaDestino: 2}
{_id: ObjectId('9a652d5e82c29bfa621338b92843c0d52079b094'), Hora: '2024-04-16 20:07:52.089', SalaOrigem: 6, SalaDestino: 10}
{_id: ObjectId('da8dcdf8a444c351b426a49aad3380541a9ba4d'), Hora: '2024-04-16 20:07:52.089', SalaOrigem: 9, SalaDestino: 9}
{_id: ObjectId('ad191cc84fc2f3c27a48029f2794d3a85724ddcf'), Hora: '2024-04-16 20:07:52.089', SalaOrigem: 5, SalaDestino: 7}
{_id: ObjectId('46d49e03383fb2aa52589fd2a8a220e0b1a21980'), Hora: '2024-04-16 20:07:52.089', SalaOrigem: 8, SalaDestino: 5}
