{_id: ObjectId('ca6b0cc71cf3de97f20d57888e4ca077ef8c3d10'), Hora: '2024-04-16 18:25:34.444', Leitura: 13.454379, Sensor: 1}
{_id: ObjectId('10368d0bc14a1371713aa44097e3265f98c42b2d'), Hora: '2024-04-16 18:25:34.467', Leitura: 18.0, Sensor: 2}
{_id: ObjectId('56c19b41'), Hora: 'Hora_anomala', Leitura: 0, Sensor: 0}
{_id: ObjectId('ce87647611e222da259e28a7564062ff66dae22'), Hora: '2024-04-16 18:25:34.467', Leitura: 100.0, Sensor: 1}
{_id: ObjectId('db283f1e39ac409edb0470dc14b910064d442196'), Hora: '2024-04-16 18:25:34.467', Leitura: 19.296947, Sensor: 2}
{_id: ObjectId('ff618d26b75bb1a150435970fb8a2d22789039'), Hora: '2024-04-16 18:25:34.468', Leitura: 100.0, Sensor: 2}
{_id: ObjectId('de15293e2e911c14295b1bdee0aa01ec8f83a7ec'), Hora: '2024-04-16 18:25:34.468', Leitura: 19.669224, Sensor: 1}
{_id: ObjectId('23bba4e75ed26c8b5a5ce2cc93e5f6c49f2b9f05'), Hora: '2024-04-16 18:25:34.468', Leitura: 19.2279, Sensor: 1}
{_id: ObjectId('b868841a14fd513aee8116c1529b70d0a52b24c1'), Hora: '2024-04-16 18:25:34.468', Leitura: 18.9471, Sensor: 1}
{_id: ObjectId('dbeb618c'), Hora: 'Hora_anomala', Leitura: 0, Sensor: 0}
{_id: ObjectId('5206b9a343d759573203a34ba549aaa06a08f8a3'), Hora: '2024-04-16 18:25:34.468', Leitura: 18.846775, Sensor: 1}
{_id: ObjectId('c12d68cab29d61aa4c3169fa8fa78666423a535e'), Hora: '2024-04-16 18:25:34.468', Leitura: 19.147696, Sensor: 1}
{_id: ObjectId('879029fae9d470d5543f5a1592ca4cf4fad14dd'), Hora: '2024-04-16 18:25:34.468', Leitura: 18.674658, Sensor: 2}
{_id: ObjectId('f57ae831810853629826e639b5bad2438c6be054'), Hora: '2024-04-16 18:25:34.468', Leitura: 18.487408, Sensor: 1}
{_id: ObjectId('48c537da4b1d740b3160804ca1e83f3740684b0'), Hora: '2024-04-16 18:25:34.468', Leitura: 18.879139, Sensor: 2}
{_id: ObjectId('b6a08b7e3bacaddbcbad32a5739632da717e276'), Hora: '2024-04-16 18:25:34.468', Leitura: 19.316631, Sensor: 1}
{_id: ObjectId('341a2ae8134731d8f42e07155f9a646f7509cab6'), Hora: '2024-04-16 18:25:34.468', Leitura: 18.313223, Sensor: 2}
{_id: ObjectId('e45bab0e9cc3125a48c0e8ae1e0803784876d5cd'), Hora: '2024-04-16 18:25:34.468', Leitura: 18.412338, Sensor: 1}
{_id: ObjectId('ff9c7f0d3f6ac535f6ea4bd613075e4500a5dbd'), Hora: '2024-04-16 18:25:34.468', Leitura: 19.671995, Sensor: 2}
{_id: ObjectId('15d1b5b161b81b7411dbbfa0165f5e244dd48e6c'), Hora: '2024-04-16 18:25:34.469', Leitura: 19.249008, Sensor: 2}
{_id: ObjectId('1ee746cd'), Hora: 'Hora_anomala', Leitura: 0, Sensor: 0}
{_id: ObjectId('11ae59d1cd3936187cd2acd7a5c939e96ecc1fe2'), Hora: '2024-04-16 18:25:34.469', Leitura: 18.988918, Sensor: 2}
{_id: ObjectId('1d187248'), Hora: 'Hora_anomala', Leitura: 0, Sensor: 0}
{_id: ObjectId('cea91df137d4b33a9fd8b8a1c0609c8178e450a'), Hora: '2024-04-16 18:25:34.469', Leitura: 19.123743, Sensor: 1}
{_id: ObjectId('3f1239515e8135236c685b1355e31c3143050f2'), Hora: '2024-04-16 18:25:34.469', Leitura: 19.576096, Sensor: 1}
{_id: ObjectId('a65f59dfe6e2f38eed61e515eeaa3a821806af98'), Hora: '2024-04-16 18:25:34.469', Leitura: 19.106743, Sensor: 1}
{_id: ObjectId('d3e7f7617a77831310d1af07689e691095d0461e'), Hora: '2024-04-16 18:25:34.469', Leitura: 19.541786, Sensor: 1}
{_id: ObjectId('7205a1c62cd3cfeb77cae1e6bac7a0bb4d771e41'), Hora: '2024-04-16 18:25:34.469', Leitura: 19.313684, Sensor: 1}
{_id: ObjectId('3ec4b3ffca364d7814184918be014ba19c8eb899'), Hora: '2024-04-16 18:25:34.469', Leitura: 18.936132, Sensor: 1}
{_id: ObjectId('c2a09138431a86562377ce20ba7eb561e7653dc'), Hora: '2024-04-16 18:25:34.469', Leitura: 19.380095, Sensor: 2}
{_id: ObjectId('c306b69c3569964c3964041f9aa5914165d4b507'), Hora: '2024-04-16 18:25:34.469', Leitura: 19.61783, Sensor: 1}
{_id: ObjectId('bea95be7143b3e7045f6fd8f9b9b72c951295ccd'), Hora: '2024-04-16 18:25:34.469', Leitura: 19.543903, Sensor: 2}
{_id: ObjectId('3503d068'), Hora: 'Hora_anomala', Leitura: 0, Sensor: 0}
{_id: ObjectId('6bf3c6d5ea80beff8ed643a01eb906c53d99a17b'), Hora: '2024-04-16 18:25:34.469', Leitura: 19.261627, Sensor: 2}
{_id: ObjectId('f191522538c9c1aa5d1f726980874b7d4d71f6a5'), Hora: '2024-04-16 18:25:34.469', Leitura: 18.526937, Sensor: 2}
{_id: ObjectId('3bd9202f9e36d68919c4bc00bd75f7c3825c64ea'), Hora: '2024-04-16 18:25:34.469', Leitura: 19.533012, Sensor: 2}
{_id: ObjectId('1e9ee1e3866c44d9ba12f287f947a69b4222a9e'), Hora: '2024-04-16 18:25:34.470', Leitura: 19.391512, Sensor: 2}
{_id: ObjectId('94aa31b8'), Hora: 'Hora_anomala', Leitura: 0, Sensor: 0}
{_id: ObjectId('bbdc494146c20791102801073404dfb4e502193e'), Hora: '2024-04-16 18:25:34.470', Leitura: 19.66132, Sensor: 1}
{_id: ObjectId('76ddda4d74e9c06976780b5a365f43abae8ce2f0'), Hora: '2024-04-16 18:25:34.470', Leitura: 18.353941, Sensor: 1}
{_id: ObjectId('831778e7'), Hora: 'Hora_anomala', Leitura: 0, Sensor: 0}
{_id: ObjectId('e64a46657f657ef84b8bad70825b46d334f8fd3a'), Hora: '2024-04-16 18:25:34.470', Leitura: 19.329508, Sensor: 1}
