{_id: ObjectId('ab092b698a38630fffdb599c41eb05fb727d44f7'), Hora: '2024-04-16 18:25:34.719', SalaOrigem: 6, SalaDestino: 5}
{_id: ObjectId('cdb2c2614a897c16cbe6e91274e5d97b5526bc3'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 8, SalaDestino: 2}
{_id: ObjectId('c7488dddb9a0db4865a8d606dcb246e93cfde9a'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 8, SalaDestino: 1}
{_id: ObjectId('92e0491b3028248d3fe7fe7f4d4214dd5959800f'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 2, SalaDestino: 6}
{_id: ObjectId('1f93e1471e0fd214b5fdf7f2bf870ea65ee37e89'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 6, SalaDestino: 6}
{_id: ObjectId('f8025fa3fc9f4a8d769e1e8af9d21baed61451c3'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 10, SalaDestino: 3}
{_id: ObjectId('da47d805a14c6dad38aeed2662a51081603d114e'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 8, SalaDestino: 7}
{_id: ObjectId('4494a7579a4830aebdc39fd75594bcccc2961b0c'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 5, SalaDestino: 5}
{_id: ObjectId('cfe021690524accac37a66637d7abe25dfa09b6'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 4, SalaDestino: 10}
{_id: ObjectId('9461d2d4c9a5f1c9c555e6cb1abc7539dd98fb57'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 2, SalaDestino: 7}
{_id: ObjectId('8577e8b7d211a6695f35cfb74b699ceac55e27cf'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 4, SalaDestino: 1}
{_id: ObjectId('5a6a75f7fc8c10f795383b0bf98904342601c752'), Hora: '2024-04-16 18:25:34.733', SalaOrigem: 2, SalaDestino: 3}
{_id: ObjectId('148fde64ead7edbf554e205ff0c0e9f9c20148e6'), Hora: '2024-04-16 18:25:34.734', SalaOrigem: 3, SalaDestino: 1}
{_id: ObjectId('ab1fd5dd880909914b73177c3b1c7b3f5bf7d8e8'), Hora: '2024-04-16 18:25:34.734', SalaOrigem: 5, SalaDestino: 8}
{_id: ObjectId('b6fdcedaeafc4e45b005aae264c5f3b0bc113788'), Hora: '2024-04-16 18:25:34.734', SalaOrigem: 9, SalaDestino: 4}
{_id: ObjectId('caf2b8e36614df3128e77a433b44e1a3790df48'), Hora: '2024-04-16 18:25:34.734', SalaOrigem: 10, SalaDestino: 8}
{_id: ObjectId('b8f00f16a1d045b5408f2d06182e84f02aa77b81'), Hora: '2024-04-16 18:25:34.734', SalaOrigem: 1, SalaDestino: 3}
{_id: ObjectId('be3636a53adaf717634c5d54662c8e210aedd'), Hora: '2024-04-16 18:25:34.734', SalaOrigem: 5, SalaDestino: 6}
{_id: ObjectId('31782d56add43207678c5fcf62ace2dbe73329de'), Hora: '2024-04-16 18:25:34.734', SalaOrigem: 7, SalaDestino: 4}
{_id: ObjectId('d7568801babc3925e49b3ba7338221897ebd1156'), Hora: '2024-04-16 18:25:34.734', SalaOrigem: 9, SalaDestino: 8}
{_id: ObjectId('72cbc116432fe175a7c34783a002dcd26ef6b4ed'), Hora: '2024-04-16 18:25:34.734', SalaOrigem: 9, SalaDestino: 1}
{_id: ObjectId('8063d7143db27dead37cf6cd8a3584ddd045959f'), Hora: '2024-04-16 18:25:34.734', SalaOrigem: 7, SalaDestino: 9}
{_id: ObjectId('4c593b13c16f227990c783a6f7f8dc75bf99bc3b'), Hora: '2024-04-16 18:25:34.734', SalaOrigem: 3, SalaDestino: 10}
{_id: ObjectId('bcf10f3bada64099196f915eb716298747bf5fe5'), Hora: '2024-04-16 18:25:34.734', SalaOrigem: 3, SalaDestino: 8}
{_id: ObjectId('3bb0b54b718253cae6979efd5238f5a5bbcedc94'), Hora: '2024-04-16 18:25:34.734', SalaOrigem: 10, SalaDestino: 4}
{_id: ObjectId('2146ad1354259e0a7bec49bed7ee5e86a34f995'), Hora: '2024-04-16 18:25:34.734', SalaOrigem: 5, SalaDestino: 1}
{_id: ObjectId('e940c2f9502f4612b2e5f8e370df683450d8006'), Hora: '2024-04-16 18:25:34.734', SalaOrigem: 1, SalaDestino: 6}
{_id: ObjectId('65f493b1f0af1672643d6af4'), Hora: '2024-03-15 18:30:08.832404', SalaDestino: 3}
{_id: ObjectId('6cd39b5736fcc1913e2e351cb9ca215c712b7b56'), Hora: '2024-04-16 18:25:34.734', SalaOrigem: 4, SalaDestino: 7}
{_id: ObjectId('afbc3379ef08169e9e067771775faddd259d0a1f'), Hora: '2024-04-16 18:25:34.734', SalaOrigem: 8, SalaDestino: 3}
{_id: ObjectId('1172b5d8bb1a4dbea8e090caf739b27fef34827'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 1, SalaDestino: 4}
{_id: ObjectId('f47780898d9bf0b1eb7beb10b443daa7881fcbb5'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 6, SalaDestino: 3}
{_id: ObjectId('7db37326e181466826043751924300239bc4c0d6'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 7, SalaDestino: 10}
{_id: ObjectId('65f493b1f0af1672643d6af4'), Hora: '2024-03-15 18:30:08.832404', SalaDestino: 3}
{_id: ObjectId('3ac9458c9dfdae4069a2b83168a05dd6772467df'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 8, SalaDestino: 4}
{_id: ObjectId('1bf856f63c48e0b2f9468ebd174267cbf408884d'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 9, SalaDestino: 8}
{_id: ObjectId('8638e8356ca01822c1d905878a3dc70a42bcabc3'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 4, SalaDestino: 9}
{_id: ObjectId('650bce0b3e30472d4fcfaa3e6482bafbf96ac8e'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 8, SalaDestino: 7}
{_id: ObjectId('b9b276f0d72f8a17a9d55ef7bf9c21ac8b065ed'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 8, SalaDestino: 2}
{_id: ObjectId('f5bced8ee7933745dd5d3cc0f11ef76d62435e97'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 2, SalaDestino: 3}
{_id: ObjectId('b765ab4369477fc1da4a0e0dd3ce4e0f79df4332'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 5, SalaDestino: 5}
{_id: ObjectId('5a53aa2a68a9fba4172634295b4422b9b0530dd'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 2, SalaDestino: 3}
{_id: ObjectId('3d27a9f2314d9f00d0f2d9972a473e32eef1cfa7'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 3, SalaDestino: 10}
{_id: ObjectId('1a8dcdad30bca18c158b6197e6d59f5510a03d15'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 2, SalaDestino: 3}
{_id: ObjectId('b1a453022c50c7f6e6eed5a2af9fca0c954fc6a0'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 10, SalaDestino: 4}
{_id: ObjectId('ac7aa254460d9ffd1cfee06b71704e9129167435'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 10, SalaDestino: 2}
{_id: ObjectId('e08391baa7cc2503f12e337a13641d66c64a62b3'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 4, SalaDestino: 7}
{_id: ObjectId('2329e77dc1b5508eec830daa10d4cbcbddcbee70'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 5, SalaDestino: 8}
{_id: ObjectId('4a82ac9cda4e3ac917f411ac3796e8483d7aadb5'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 3, SalaDestino: 3}
{_id: ObjectId('72074f4b5ab7cb0062196c839afe5f2a215f3b3d'), Hora: '2024-04-16 18:25:34.735', SalaOrigem: 10, SalaDestino: 5}
{_id: ObjectId('ee81956f3403f828d26c4c06a85aeefd2353d0ba'), Hora: '2024-04-16 18:25:34.736', SalaOrigem: 10, SalaDestino: 1}
{_id: ObjectId('d7935f24b4c299542f8ea5626ddead17ac35b150'), Hora: '2024-04-16 18:25:34.736', SalaOrigem: 7, SalaDestino: 7}
{_id: ObjectId('b08439372827c64133554b9591209a0d20e96418'), Hora: '2024-04-16 18:25:34.736', SalaOrigem: 6, SalaDestino: 5}
{_id: ObjectId('853ebfada26dc7cb448e55f426ad463c44bbbe9f'), Hora: '2024-04-16 18:25:34.736', SalaOrigem: 1, SalaDestino: 2}
{_id: ObjectId('c3a7d03a70549876f3bdd6a69857864131e9bf64'), Hora: '2024-04-16 18:25:34.736', SalaOrigem: 8, SalaDestino: 9}
{_id: ObjectId('34b98ccbb9e0f4e6254ae126c3b3781d859385d'), Hora: '2024-04-16 18:25:34.736', SalaOrigem: 6, SalaDestino: 5}
{_id: ObjectId('bc0c2dfdabcfc67e8d6e0c54aa414a229cc4973'), Hora: '2024-04-16 18:25:34.736', SalaOrigem: 3, SalaDestino: 6}
{_id: ObjectId('efb6a5a39cdc61667ab93f25f54a9a10fa19ab01'), Hora: '2024-04-16 18:25:34.736', SalaOrigem: 2, SalaDestino: 8}
{_id: ObjectId('2db11144744629f5d1d95abffe98fa792133c859'), Hora: '2024-04-16 18:25:34.736', SalaOrigem: 8, SalaDestino: 10}
{_id: ObjectId('65f493b1f0af1672643d6af4'), Hora: '2024-03-15 18:30:08.832404', SalaDestino: 3}
{_id: ObjectId('9526004b6960cd5eb3ea23519c08aa3f43f906ff'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 10, SalaDestino: 3}
{_id: ObjectId('df871342ab0002a259f4d14f4084b16c77bbca9e'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 1, SalaDestino: 8}
{_id: ObjectId('665a86d77bbf1e7e4ed4b4ee1842210cc61e3751'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 2, SalaDestino: 5}
{_id: ObjectId('69ab74aef29533bbe163a6ed9caf7940b31daabb'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 4, SalaDestino: 10}
{_id: ObjectId('76227c8c2d3fca7391d4ecd0deb6a19d1824c6e5'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 5, SalaDestino: 9}
{_id: ObjectId('8e3ae4db8d14b6963bc48d5c1b2ee3abada21aba'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 7, SalaDestino: 7}
{_id: ObjectId('abcb4b2962c83e68be2cb51f5ca3b568349b5a8c'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 5, SalaDestino: 2}
{_id: ObjectId('5ac3e4a93561910111f32ae5923a53c2ed3f288d'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 8, SalaDestino: 1}
{_id: ObjectId('65f493b1f0af1672643d6af4'), Hora: '2024-03-15 18:30:08.832404', SalaDestino: 3}
{_id: ObjectId('5dd78ccc6400d444f2c02d20e5b76d57b7230c3c'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 10, SalaDestino: 10}
{_id: ObjectId('a60fd608b4154a119a2c1bda12be406587d996f3'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 7, SalaDestino: 4}
{_id: ObjectId('f73a3d4aadc87ce9f1c70bc11b760972ba87c80'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 1, SalaDestino: 4}
{_id: ObjectId('e8c275f9ed6c69aac51bcd88ea503cb289799b25'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 1, SalaDestino: 3}
{_id: ObjectId('2e521cd1a6c0ddf6bfb6cf7123e88bde88597bb9'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 8, SalaDestino: 5}
{_id: ObjectId('789d0e61afab4cb731ac89a094576262f229024'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 10, SalaDestino: 9}
{_id: ObjectId('59f20d8d4564b29552c3cfb23514cfb9de1c1e5'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 9, SalaDestino: 4}
{_id: ObjectId('24c9ba0c7ecf8a82ae0f503889e9d3b2c0ce508c'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 2, SalaDestino: 8}
{_id: ObjectId('87cdd6ea42e7d22fd9aa7f3547ff1801fdef003f'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 4, SalaDestino: 8}
{_id: ObjectId('e012e108c67f1e94e03950a4b684da8667c69839'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 3, SalaDestino: 2}
{_id: ObjectId('d77df5978b6c06ca3b4c2f09ff8874030a1b147'), Hora: '2024-04-16 18:25:34.737', SalaOrigem: 3, SalaDestino: 9}
{_id: ObjectId('ea9108a181e9f8b6284e397ab47dbe14335fd449'), Hora: '2024-04-16 18:25:34.738', SalaOrigem: 3, SalaDestino: 3}
{_id: ObjectId('de176b803cfa3d35573a71794d36b4967d1e8b7'), Hora: '2024-04-16 18:25:34.738', SalaOrigem: 10, SalaDestino: 2}
